,mass,method,semimajoraxis
231,0.21,RV,0.269
232,0.261,RV,0.102
233,3.5,RV,2.0
234,2.6,RV,1.4
235,1.36,RV,1.051
236,1.018,RV,2.68
237,0.77,RV,0.33
238,0.054,RV,0.079
239,0.076,RV,0.196
240,0.28,RV,0.0635
241,11.09,RV,2.14
242,6.8,RV,1.97
243,2.83,RV,0.92
244,0.36,RV,1.24
245,0.93,RV,2.44
246,1.24,RV,1.65
247,0.48,RV,5.16
248,0.84,RV,2.08
249,10.98,RV,0.353
250,1.0,RV,1.2
251,4.21,RV,2.708
252,0.36,RV,0.721
253,2.1,RV,1.73
254,2.06,RV,3.78
255,0.178,RV,0.176
256,2.13,RV,0.07
257,0.622,RV,3.16
258,0.079,RV,0.229
259,6.54,RV,1.93
260,4.5,RV,4.3
261,1.22,RV,0.33
262,3.71,RV,1.02
263,0.042,RV,0.0809
264,3.0,RV,1.37
265,0.058,RV,0.05
266,7.2,RV,4.2
267,0.224,RV,1.8105
268,0.38,RV,2.35
269,2.3,RV,0.83
270,1.57,RV,2.56
271,1.6,RV,2.9
272,1.02,RV,0.088
273,2.2,RV,2.09
274,85.2,RV,3.17
275,14.0,RV,1.85
276,5.61,RV,1.98
277,1.49,RV,2.62
278,0.0351,RV,0.0444
279,0.1507,RV,2.2263
280,0.0292,RV,0.1023
281,0.0382,RV,0.2962
282,0.121,RV,1.1567
283,1.59,RV,0.81
284,0.82,RV,5.8
285,0.0166,RV,0.0933
286,0.0358,RV,0.1665
287,0.03,RV,0.411
288,2.0,RV,1.32
289,0.223,RV,0.89
290,0.0325,RV,0.1017
291,0.036,RV,0.2476
292,0.865,RV,0.154
293,5.13,RV,2.03
294,1.88,RV,5.15
295,9.76,RV,2.36
296,0.46,RV,0.4225
297,1.36,RV,0.7023
298,1.22,RV,2.1348
299,0.69,RV,4.8968
300,9.7,RV,1.52
301,5.1,RV,3.03
302,1.9,RV,2.77
303,1.62,RV,1.05
304,1.25,RV,1.02
305,5.3,RV,6.8
306,3.12,RV,2.0
307,5.76,RV,0.45
308,2.9,RV,0.76
309,2.28,RV,4.6
310,0.0239,RV,0.063438
311,0.0186,RV,0.1117
312,2.12,RV,0.2388
313,6.56,RV,1.922
314,1.21,RV,1.32
315,0.85,RV,2.45
316,0.96,RV,0.93
317,0.356,transit,0.04288
318,1.36,RV,0.052
319,3.1,RV,1.31
320,0.168,RV,1.9303
321,2.71,RV,6.7
322,3.0,RV,3.2
323,1.5,RV,1.48
324,2.73,RV,1.28
325,0.0193,RV,0.1316
326,1.0,RV,4.3
327,5.02,RV,0.6
328,2.24,RV,1.291
329,2.58,RV,5.36
330,0.85,RV,0.64
331,0.82,RV,1.02
332,9.71,RV,0.495
333,0.74,RV,1.88
334,0.0131,RV,0.05
335,263.0,RV,1.096
336,0.12,RV,0.416
337,1.8,RV,1.48
338,1.13,RV,0.11
339,1.9,RV,0.8
340,2.1,RV,2.25
341,0.73,RV,1.0
342,0.215,RV,0.35
343,4.4,RV,2.1
344,14.4,RV,0.074
345,0.77,RV,0.36
346,2.29,RV,2.42
347,0.069,RV,0.14
348,0.48,RV,0.875
349,2.7,RV,1.13
350,0.36,RV,2.11
351,3.53,RV,5.42
352,1.6,RV,1.3
353,7.659,RV,0.2931
